"Date"	"Player"	"Reason"	"Amount"
"2025-11-27 17:50:46"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-27 17:49:23"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-27 17:45:27"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-27 17:44:32"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-27 17:32:52"	"FizzyOrange"	"Deposit"	"6"
"2025-11-27 15:43:14"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-27 13:22:44"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-27 13:20:39"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-27 11:39:33"	"darkinwhity"	"Deposit"	"23"
"2025-11-27 11:24:51"	"FizzyOrange"	"Deposit"	"10"
"2025-11-27 11:17:35"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-27 11:07:08"	"FizzyOrange"	"Deposit"	"10"
"2025-11-27 10:28:57"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-27 09:23:02"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-27 08:55:24"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-27 08:28:25"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-27 03:34:38"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-27 03:31:40"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-27 02:46:13"	"FizzyOrange"	"Withdrawal"	"-2"
"2025-11-27 01:24:43"	"FizzyOrange"	"Deposit"	"160"
"2025-11-27 01:24:27"	"FizzyOrange"	"Deposit"	"10"
"2025-11-27 00:34:38"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-26 23:01:43"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 22:55:34"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-26 22:36:59"	"jamjar97"	"Deposit"	"10"
"2025-11-26 22:32:24"	"jamjar97"	"Withdrawal"	"-10"
"2025-11-26 22:17:33"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 22:16:16"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-26 22:05:17"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 21:45:44"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 21:43:41"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-26 21:31:42"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 20:40:20"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-26 20:39:06"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 20:31:45"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 20:25:14"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 19:28:57"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-26 18:03:46"	"FizzyOrange"	"Deposit"	"7"
"2025-11-26 17:57:44"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-26 17:19:37"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 17:09:19"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-26 14:09:20"	"StrikeDestiny"	"Deposit"	"10"
"2025-11-26 14:07:53"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-26 13:44:21"	"StrikeDestiny"	"Deposit"	"16"
"2025-11-26 13:41:43"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-26 11:06:48"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-26 11:05:10"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-26 05:23:49"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-26 05:08:44"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-26 04:07:39"	"jamjar97"	"Withdrawal"	"-10"
"2025-11-25 23:07:00"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-25 21:53:57"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-25 18:33:43"	"Nexara"	"Deposit"	"10"
"2025-11-25 18:21:46"	"RovenXii"	"Deposit"	"10"
"2025-11-25 18:06:39"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-25 17:10:56"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-25 16:53:43"	"Nexara"	"Withdrawal"	"-10"
"2025-11-25 16:29:28"	"Nexara"	"Deposit"	"10"
"2025-11-25 14:47:01"	"Nexara"	"Withdrawal"	"-10"
"2025-11-25 02:30:28"	"Nexara"	"Deposit"	"10"
"2025-11-25 02:21:17"	"Nexara"	"Withdrawal"	"-10"
"2025-11-25 01:06:11"	"pandarea"	"Withdrawal"	"-10"
"2025-11-25 00:25:55"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-24 22:47:36"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-24 22:44:44"	"Nexara"	"Withdrawal"	"-10"
"2025-11-24 17:46:44"	"jamjar97"	"Withdrawal"	"-10"
"2025-11-24 17:28:22"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-24 17:22:16"	"RovenXii"	"Deposit"	"10"
"2025-11-24 16:33:32"	"FizzyOrange"	"Deposit"	"7"
"2025-11-24 16:30:18"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-24 16:30:13"	"Nexara"	"Withdrawal"	"-10"
"2025-11-24 15:41:18"	"RovenXii"	"Deposit"	"10"
"2025-11-24 15:39:17"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-24 07:53:19"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-24 01:01:00"	"kokos4o"	"Deposit"	"20"
"2025-11-24 00:47:44"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-24 00:47:36"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-24 00:47:01"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-24 00:44:15"	"Nexara"	"Withdrawal"	"-10"
"2025-11-24 00:37:53"	"Nexara"	"Deposit"	"10"
"2025-11-24 00:22:04"	"Nexara"	"Withdrawal"	"-10"
"2025-11-24 00:20:03"	"Oxyjhin"	"Deposit"	"8"
"2025-11-24 00:07:35"	"RovenXii"	"Deposit"	"10"
"2025-11-23 23:57:49"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 23:19:55"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 23:19:46"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-23 23:19:22"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-23 23:18:55"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 23:18:30"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-11-23 23:13:57"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-23 22:55:37"	"RovenXii"	"Deposit"	"10"
"2025-11-23 22:55:26"	"Oxyjhin"	"Deposit"	"77"
"2025-11-23 21:25:30"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 21:22:12"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 21:22:05"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-23 21:07:14"	"kokos4o"	"Deposit"	"10"
"2025-11-23 20:56:10"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 20:55:44"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 20:30:51"	"RovenXii"	"Deposit"	"20"
"2025-11-23 19:46:57"	"Nexara"	"Withdrawal"	"-10"
"2025-11-23 19:12:20"	"pandarea"	"Deposit"	"10"
"2025-11-23 19:04:53"	"Nexara"	"Withdrawal"	"-10"
"2025-11-23 19:04:08"	"pandarea"	"Withdrawal"	"-10"
"2025-11-23 18:44:20"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 18:39:18"	"RovenXii"	"Deposit"	"10"
"2025-11-23 18:12:25"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-23 17:57:27"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 17:26:14"	"RovenXii"	"Deposit"	"63"
"2025-11-23 17:15:54"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 16:51:34"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 16:35:41"	"RovenXii"	"Deposit"	"45"
"2025-11-23 16:27:50"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-23 13:44:29"	"StrikeDestiny"	"Deposit"	"20"
"2025-11-23 13:43:51"	"StrikeDestiny"	"Deposit"	"10"
"2025-11-23 13:37:09"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-23 13:04:22"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-23 13:01:11"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-23 12:48:26"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-23 12:33:55"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 12:29:14"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-23 10:44:49"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 10:44:38"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-23 10:43:47"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 10:34:03"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 10:33:17"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-23 10:33:00"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 10:23:34"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-23 10:23:09"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 09:20:50"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 08:41:55"	"darkinwhity"	"Withdrawal"	"-10"
"2025-11-23 06:25:08"	"kokos4o"	"Deposit"	"10"
"2025-11-23 01:52:45"	"RovenXii"	"Deposit"	"10"
"2025-11-23 01:30:15"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 00:46:36"	"kokos4o"	"Deposit"	"420"
"2025-11-23 00:46:35"	"pandarea"	"Deposit"	"9"
"2025-11-23 00:45:36"	"kokos4o"	"Deposit"	"10"
"2025-11-23 00:45:29"	"Nexara"	"Deposit"	"12"
"2025-11-23 00:45:16"	"RovenXii"	"Deposit"	"33"
"2025-11-23 00:45:14"	"FizzyOrange"	"Deposit"	"100"
"2025-11-23 00:45:13"	"Oxyjhin"	"Deposit"	"7"
"2025-11-23 00:17:12"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 00:15:28"	"Nexara"	"Withdrawal"	"-10"
"2025-11-23 00:14:52"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-23 00:12:51"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-23 00:07:52"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-23 00:06:50"	"Nexara"	"Withdrawal"	"-10"
"2025-11-22 23:54:50"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-22 23:54:38"	"Oxyjhin"	"Withdrawal"	"-10"
